summary,genre
২১২৫ সালে বঙ্গোপসাগরের নিচে তৈরি ভাসমান শহরে এক বিজ্ঞানী কৃত্রিম বুদ্ধিমত্তার বিদ্রোহ থামাতে লড়াই শুরু করে।,বিজ্ঞান কল্পকাহিনি
মহাকাশযানে দীর্ঘ যাত্রায় থাকা একদল কিশোর অনাবিষ্কৃত গ্রহে প্রাচীন বাংলার নিদর্শন খুঁজে পায়।,বিজ্ঞান কল্পকাহিনি
জেনেটিক প্রযুক্তিতে স্মৃতি বদলে দেওয়ার যুগে নায়ক বুঝতে পারে তার শৈশব আসলে প্রোগ্রাম করা।,বিজ্ঞান কল্পকাহিনি
সময় ভ্রমণ যন্ত্র ব্যবহার করে এক গবেষক ১৯৫২ সালের ভাষা আন্দোলনের দিনে গিয়ে ইতিহাসের বিপদে পড়ে।,বিজ্ঞান কল্পকাহিনি
রোবট শিক্ষক চালিত স্কুলে মানবিকতার প্রশ্নকে ঘিরে শিশুরা নতুন সামাজিক নিয়মের বিরুদ্ধে দাঁড়ায়।,বিজ্ঞান কল্পকাহিনি
পুরোনো রাজবাড়ির তালাবদ্ধ ঘরে পাওয়া ডায়েরি থেকে শুরু হয় খুনের তদন্ত যেখানে প্রত্যেক সাক্ষীর বয়ান ভিন্ন।,রহস্য-রোমাঞ্চ
এক সাংবাদিক নিখোঁজ শিল্পীর খোঁজ করতে গিয়ে আন্তর্জাতিক চোরাচালান চক্রের তথ্য পায়।,রহস্য-রোমাঞ্চ
রাতের ট্রেনে ঘটে যাওয়া হত্যাকাণ্ডের মাত্র পাঁচজন যাত্রীর মধ্যে লুকিয়ে থাকে আসল খুনি।,রহস্য-রোমাঞ্চ
সমুদ্রতীরের নির্জন রিসোর্টে ধারাবাহিক দুর্ঘটনা আসলে পরিকল্পিত অপরাধ কি না তা উদ্ঘাটন করে গোয়েন্দা রুমি।,রহস্য-রোমাঞ্চ
শহরের সিসিটিভি নেটওয়ার্ক হ্যাক করে অপরাধী বারবার প্রমাণ মুছে ফেলে তদন্তকারী দল সময়ের সাথে দৌড়ায়।,রহস্য-রোমাঞ্চ
পাল যুগের বাংলায় বৌদ্ধ বিহার বাণিজ্য পথ ও জ্ঞানচর্চার বিকাশকে কেন্দ্র করে বিস্তৃত ঐতিহাসিক বর্ণনা।,ইতিহাস
১৭৫৭ থেকে ১৯০৫ পর্যন্ত বাংলার রাজনৈতিক পরিবর্তন এবং সাধারণ মানুষের জীবনে তার প্রভাব বিশ্লেষণ করা হয়েছে।,ইতিহাস
ভাষা আন্দোলনের পূর্বপ্রস্তুতি ছাত্ররাজনীতি এবং সাংস্কৃতিক প্রতিরোধের দলিলভিত্তিক উপস্থাপন।,ইতিহাস
নদীবন্দরকে কেন্দ্র করে মধ্যযুগীয় বাংলার অর্থনীতি কারুশিল্প ও বিদেশি বণিকদের সম্পর্ক তুলে ধরা হয়েছে।,ইতিহাস
মুক্তিযুদ্ধের আঞ্চলিক ইতিহাসে প্রান্তিক মানুষের অবদান সংগ্রহ করে নির্মিত গবেষণাধর্মী বই।,ইতিহাস
এক নারী চিকিৎসকের শৈশব থেকে আন্তর্জাতিক মানবিক কাজ পর্যন্ত সংগ্রামী জীবনের অনুপ্রেরণামূলক জীবনী।,জীবনী
গ্রামবাংলার দরিদ্র পরিবার থেকে উঠে আসা এক কবির জীবন প্রেম এবং সাহিত্য আন্দোলনে ভূমিকার গল্প।,জীবনী
স্বাধীনতা সংগ্রামী শিক্ষাবিদের ব্যক্তিগত ডায়েরি চিঠি ও সাক্ষাৎকারের ভিত্তিতে লেখা পূর্ণাঙ্গ জীবনচিত্র।,জীবনী
এক বিজ্ঞানীর গবেষণাগার ব্যর্থতা পুনরায় চেষ্টা এবং সাফল্যের পেছনের মানবিক দিক উন্মোচন করা হয়েছে।,জীবনী
মঞ্চনাট্যের কিংবদন্তি অভিনেতার শিল্পচর্চা পরিবার এবং শেষ বয়সের নীরবতা নিয়ে লেখা জীবনীগ্রন্থ।,জীবনী
পাহাড়ি গ্রামে হারিয়ে যাওয়া মানচিত্র খুঁজতে তিন বন্ধুর অভিযানে বন্ধুত্ব আর সাহসের পরীক্ষা হয়।,শিশু-কিশোর
ছোট্ট রিদম আর তার রোবট বন্ধুর স্কুলজীবন দুষ্টুমি আর বিজ্ঞান মেলার মজার কাহিনি।,শিশু-কিশোর
এক জাদুকরী বইয়ের পাতায় ঢুকে পড়া ভাইবোন নানা ধাঁধা পেরিয়ে বাড়ি ফেরার পথ খুঁজে পায়।,শিশু-কিশোর
সাইকেলে চেপে জেলা ভ্রমণে বের হওয়া কিশোর দলের পথে পথে ইতিহাস রহস্য আর হাস্যরসের গল্প।,শিশু-কিশোর
বন্যার সময়ে গ্রামের শিশুদের স্বেচ্ছাসেবী দল কীভাবে সবাইকে সাহায্য করে তা নিয়ে অনুপ্রেরণামূলক কিশোর উপাখ্যান।,শিশু-কিশোর
